id,name,active,distrito,description
1,Alanje (cab),true,ALANJE,
2,Divalá,true,ALANJE,
3,El Tejar,true,ALANJE,
4,Guarumal,true,ALANJE,
5,Palo Grande,true,ALANJE,
6,Querévalo,true,ALANJE,
7,Santo Tomás,true,ALANJE,
8,Canta Gallo,true,ALANJE,
9,Nuevo México,true,ALANJE,
10,Puerto Armuelles (cab),true,ALANJE,
11,Limones,true,BARÚ,
12,Progreso,true,BARÚ,
13,Baco,true,BARÚ,
14,Rodolfo Aguilar Delgado,true,BARÚ,
15,Boquerón (cab),true,BARÚ,
16,Bágala,true,BARÚ,
17,Cordillera,true,BOQUERÓN,
18,Guabal,true,BOQUERÓN,
19,Guayabal,true,BOQUERÓN,
20,Paraíso,true,BOQUERÓN,
21,Pedregal,true,BOQUERÓN,
22,Tijeras,true,BOQUERÓN,
23,Bajo Boquete (cab),true,BOQUERÓN,
24,Caldera,true,BOQUERÓN,
25,Palmira,true,BOQUERÓN,
26,Alto Boquete,true,BOQUETE,
27, Jaramillo,true,BOQUETE,
28,Los Naranjos,true,BOQUETE,
29,La Concepción (cab),true,BOQUETE,
30,Aserrío de Gariché,true,BOQUETE,
31,El Bongo,true,BOQUETE,
32,Bugaba,true,BOQUETE,
33,Gómez,true,BUGABA,
34, La Estrella,true,BUGABA,
35,San Andrés,true,BUGABA,
36,Santa Marta,true,BUGABA,
37,Santa Rosa,true,BUGABA,
38,Santo Domingo,true,BUGABA,
39,Sortová,true,BUGABA,
40,Solano[22],true,BUGABA,
41,San Isidro[23],true,BUGABA,
42,David (cab),true,BUGABA,
43,Bijagual,true,BUGABA,
44,Cochea,true,BUGABA,
45,Chiriquí,true,BUGABA,
46,Guacá,true,BUGABA,
47,Las Lomas,true,DAVID,
48,Pedregal,true,DAVID,
49,San Carlos,true,DAVID,
50,San Pablo Nuevo,true,DAVID,
51,San Pablo Viejo,true,DAVID,
52,David Este[24],true,DAVID,
53,David Sur[25],true,DAVID,
54,Dolega (cab),true,DAVID,
55,Dos Ríos,true,DAVID,
56,Los Anastacios ,true,DAVID,
57,Potrerillos,true,DAVID,
58,Potrerillos Abajo,true,DAVID,
59,Rovira,true,DAVID,
60,Tinajas,true,DOLEGA,
61,Los Algarrobos,true,DOLEGA,
62,Gualaca (cab),true,DOLEGA,
63,Hornito,true,DOLEGA,
64,Los Angeles,true,DOLEGA,
65,Paja de Sombrero,true,DOLEGA,
66,Rincón,true,DOLEGA,
67,Remedios (cab),true,DOLEGA,
68, El Nancito,true,DOLEGA,
69,El Porvenir,true,GUALACA,
70,El Puerto,true,GUALACA,
71,Santa Lucía,true,GUALACA,
72,Río Sereno (cab),true,GUALACA,
73,Breñón,true,GUALACA,
74,Cañas Gordas,true,GUALACA,
75,Monte Lirio,true,REMEDIOS,
76,Plaza de Caisán,true,REMEDIOS,
77,Santa Cruz,true,REMEDIOS,
78,Santa Clara,true,REMEDIOS,
79,Dominical,true,REMEDIOS,
80,Las Lajas (Cab),true,REMEDIOS,
81,Juay,true,RENACIMIENTO,
82,San Félix,true,RENACIMIENTO,
83,Lajas Adentro,true,RENACIMIENTO,
84,Santa Cruz,true,RENACIMIENTO,
85,Cuesta de piedra[27],true,RENACIMIENTO,
86,Paso Ancho[28],true,RENACIMIENTO,
87,Nueva California[29],true,RENACIMIENTO,
88,Volcán[30],true,RENACIMIENTO,
89,Cerro Punta[31],true,RENACIMIENTO,
90,Horconcitos (cab),true,SAN FÉLIX,
91,Boca Chica,true,SAN FÉLIX,
92,Boca Del Monte,true,SAN FÉLIX,
93,San Juan,true,SAN FÉLIX,
94,San Lorenzo,true,SAN FÉLIX,
95,Tolé (cab),true,SAN FÉLIX,
96,Cerro Viejo,true,TIERRAS ALTAS,
97,Lajas de Tolé,true,TIERRAS ALTAS,
98,Potrero de Caña,true,TIERRAS ALTAS,
99,Quebrada de Piedra,true,TIERRAS ALTAS,
100,Bella Vista,true,TIERRAS ALTAS,
101,El Cristo,true,TIERRAS ALTAS,
102,Justo Fidel Palacios,true,SAN LORENZO,
103,Veladero,true,SAN LORENZO,