"id","sequence","name","default_code","responsible_id","list_price","standard_price","type","weight","categ_id","uom_id"
"21","0","HOJAS","ME-001","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","Units"
"22","1","CHULQUIN/CHUPON","ME-002","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","Units"
"23","2","COGOLLOS","ME-003","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","Units"
"24","3","CAÑA SECA","ME-004","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","Units"
"25","4","YAGUAS","ME-005","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","Units"
"26","5","LALAS","ME-006","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","Units"
"27","6","MALEZA","ME-007","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Vegetal","Units"
"28","7","TIERRAS","MM-001","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Mineral","Units"
"29","8","CEPAS","MM-002","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Mineral","Units"
"30","9","PIEDRAS","MM-003","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Extraña / Mineral","Units"
"31","10","MUESTRA CAÑA LIMPIA","MP-002","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Prima","Units"
"32","11","MUESTRA CAÑA DETERIORADA","MP-003","Administrator","0.0","0.0","Storable Product","1.0","All / Materia Prima","Units"